region,zone,woreda
AFAR,AWSI_RASU_ZONE1,ADA'AR
AFAR,AWSI_RASU_ZONE1,AFAMBO
AFAR,AWSI_RASU_ZONE1,ASAYITA
AFAR,AWSI_RASU_ZONE1,CHIFRA
AFAR,AWSI_RASU_ZONE1,DUBTI
AFAR,AWSI_RASU_ZONE1,ELIDAR
AFAR,AWSI_RASU_ZONE1,KORI
AFAR,AWSI_RASU_ZONE1,MILLE
AFAR,KILBET RASU (ZONE 2),ABALA
AFAR,KILBET RASU (ZONE 2),AFDERA
AFAR,KILBET RASU (ZONE 2),BERHALE
AFAR,KILBET RASU (ZONE 2),BIDU
AFAR,KILBET RASU (ZONE 2),DALLOL
AFAR,KILBET RASU (ZONE 2),EREBTI
AFAR,KILBET RASU (ZONE 2),KONEBA
AFAR,KILBET RASU (ZONE 2),MEGALE
AFAR,GABI RASU (ZONE 3),AMIBARA
AFAR,GABI RASU (ZONE 3),AWASH FENTALE
AFAR,GABI RASU (ZONE 3),BURE MUDAYTU
AFAR,GABI RASU (ZONE 3),DULECHA
AFAR,GABI RASU (ZONE 3),GEWANE
AFAR,FANTÍ RASU (ZONE 4),AURA
AFAR,FANTÍ RASU (ZONE 4),EWA
AFAR,FANTÍ RASU (ZONE 4),GULINA
AFAR,FANTÍ RASU (ZONE 4),TERU
AFAR,FANTÍ RASU (ZONE 4),YALO
AFAR,HARI RASU (ZONE 5),DALIFAGE
AFAR,HARI RASU (ZONE 5),DEWE
AFAR,HARI RASU (ZONE 5),HADELE ELE
AFAR,HARI RASU (ZONE 5),SIMUROBI GELE'ALO
AFAR,HARI RASU (ZONE 5),TELALAK
AFAR,SPECIAL WOREDAS,ARGOBBA
AMHARA,AGEW AWI ZONE,ANKASHA GUAGUSA
AMHARA,AGEW AWI ZONE,BANJA SHEKUDAD
AMHARA,AGEW AWI ZONE,DANGILA
AMHARA,AGEW AWI ZONE,FAGGETA LEKOMA
AMHARA,AGEW AWI ZONE,GUAGUSA SHEKUDAD
AMHARA,AGEW AWI ZONE,GUANGUA
AMHARA,AGEW AWI ZONE,JAWI
AMHARA,MISIRAK GOJJAM ZONE,ANEDED
AMHARA,MISIRAK GOJJAM ZONE,AWABEL
AMHARA,MISIRAK GOJJAM ZONE,BASO LIBEN
AMHARA,MISIRAK GOJJAM ZONE,BIBUGN
